         282545 function calls (274804 primitive calls) in 229.848 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      483    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:846(create_module)
   483/35    0.002    0.000    0.676    0.019 <frozen importlib._bootstrap_external>:849(exec_module)
     4108    0.025    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      483    0.007    0.000    0.295    0.001 <frozen importlib._bootstrap_external>:921(get_code)
       80    0.001    0.000    0.008    0.000 <frozen zipimport>:63(__init__)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       70    0.001    0.000    1.471    0.021 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1001(CharField)
       27    0.000    0.000    0.001    0.000 __init__.py:1004(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:1049(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1060(flush)
        6    0.000    0.000    0.000    0.000 __init__.py:1076(formfield)
    61/43    0.000    0.000    0.267    0.006 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1094(CommaSeparatedIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:1110(DateTimeCheckMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1142(DateField)
       12    0.000    0.000    0.000    0.000 __init__.py:1152(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1206(stream)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        5    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1230(append)
       14    0.000    0.000    0.000    0.000 __init__.py:1252(contribute_to_class)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        2    0.000    0.000    0.000    0.000 __init__.py:1278(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
       15    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1285(DateTimeField)
      102    0.001    0.000    0.002    0.000 __init__.py:131(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1359(_fixupChildren)
        7    0.000    0.000    0.000    0.000 __init__.py:1372(_clear_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
       17    0.000    0.000    0.000    0.000 __init__.py:140(configured)
       12    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:1417(setLevel)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1424(debug)
        2    0.000    0.000    0.000    0.000 __init__.py:1434(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1441(DecimalField)
       12    0.000    0.000    0.003    0.000 __init__.py:152(lazy_number)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        2    0.000    0.000    0.000    0.000 __init__.py:155(get_user_model)
        1    0.000    0.000    0.000    0.000 __init__.py:1576(DurationField)
       12    0.000    0.000    0.000    0.000 __init__.py:159(NumberAwareString)
        1    0.000    0.000    0.000    0.000 __init__.py:160(Settings)
        3    0.000    0.000    0.000    0.000 __init__.py:1601(addHandler)
        1    0.000    0.000    0.003    0.003 __init__.py:161(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1636(EmailField)
        1    0.000    0.000    0.000    0.000 __init__.py:1640(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1651(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1660(FilePathField)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.006    0.006 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1724(FloatField)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1764(IntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:184(ManagementUtility)
        1    0.000    0.000    0.000    0.000 __init__.py:1851(BigIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:1866(SmallIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:1873(IPAddressField)
        1    0.000    0.000    0.000    0.000 __init__.py:188(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1904(GenericIPAddressField)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
       32    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1984(NullBooleanField)
        1    0.000    0.000    0.000    0.000 __init__.py:20(GenericViewError)
